season,team_id,group_id,group_name,min,net_rating,off_rating,def_rating,pace,minutes_bucket,net_rating_bucket,pace_bucket
2023-24,1610612747,-203076-203915-1626156-1629060-1630559-,A. Davis - S. Dinwiddie - D. Russell - R. Hachimura - A. Reaves,99.0,-4.6,119.2,123.8,103.95,low,average,fast
2023-24,1610612755,-200768-202699-1626162-1628964-1630178-,K. Lowry - T. Harris - K. Oubre Jr. - M. Bamba - T. Maxey,99.0,-0.5,107.0,107.5,96.7,low,average,average
2023-24,1610612750,-203497-203937-1629638-1629675-1630162-,R. Gobert - K. Anderson - N. Alexander-Walker - N. Reid - A. Edwards,98.9,30.9,117.3,86.4,105.52,low,elite,very_fast
2023-24,1610612742,-202681-1627884-1629029-1629684-1641726-,K. Irving - D. Jones Jr. - L. Doncic - G. Williams - D. Lively II,98.8,-2.3,108.7,111.0,106.15,low,average,very_fast
2023-24,1610612759,-1628380-1629640-1630170-1630200-1631110-,Z. Collins - K. Johnson - D. Vassell - T. Jones - J. Sochan,98.1,-5.4,107.1,112.6,103.98,low,poor,fast
2023-24,1610612746,-201566-202695-1626181-1628464-1629599-,R. Westbrook - K. Leonard - N. Powell - D. Theis - A. Coffey,97.8,6.5,116.5,110.0,105.78,low,good,very_fast
2023-24,1610612741,-201942-202696-203897-1628470-1629632-,D. DeRozan - N. Vucevic - Z. LaVine - T. Craig - C. White,97.7,-34.2,95.6,129.8,100.28,low,poor,fast
2023-24,1610612747,-203076-1626156-1627752-1629060-1630559-,A. Davis - D. Russell - T. Prince - R. Hachimura - A. Reaves,96.9,-2.4,107.6,110.0,104.3,low,average,fast
2023-24,1610612757,-1629028-1630703-1631133-1631200-1641712-,D. Ayton - S. Henderson - J. Walker - K. Murray - R. Rupert,96.6,-13.1,100.5,113.6,98.6,low,poor,average
2023-24,1610612738,-201950-1628369-1628436-1630202-1630573-,J. Holiday - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,96.2,33.7,126.6,92.9,96.26,low,elite,average
2023-24,1610612752,-203944-1628392-1628404-1628973-1630193-,J. Randle - I. Hartenstein - J. Hart - J. Brunson - I. Quickley,95.6,25.6,128.6,102.9,104.15,low,elite,fast
2023-24,1610612739,-1627747-1628378-1628386-1629622-1630171-,C. LeVert - D. Mitchell - J. Allen - M. Strus - I. Okoro,94.4,1.5,111.9,110.4,102.45,low,average,fast
2023-24,1610612744,-101108-201939-202691-203952-1626172-,C. Paul - S. Curry - K. Thompson - A. Wiggins - K. Looney,93.3,18.2,124.8,106.5,103.1,low,elite,fast
2023-24,1610612749,-201572-203081-1626171-1626192-1627736-,B. Lopez - D. Lillard - B. Portis - P. Connaughton - M. Beasley,92.7,22.2,114.5,92.2,112.16,low,elite,very_fast
2023-24,1610612764,-1626145-1628398-1629673-1630166-1641731-,T. Jones - K. Kuzma - J. Poole - D. Avdija - B. Coulibaly,91.9,-26.8,94.6,121.4,106.77,low,poor,very_fast
2023-24,1610612765,-1630191-1630595-1631093-1631105-1631323-,I. Stewart - C. Cunningham - J. Ivey - J. Duren - S. Fontecchio,90.4,8.9,111.0,102.1,101.69,low,good,fast
2023-24,1610612756,-201142-203078-1626164-1628960-1629234-,K. Durant - B. Beal - D. Booker - G. Allen - D. Eubanks,90.2,-17.6,98.9,116.6,97.6,low,poor,average
2023-24,1610612743,-202704-203484-203999-1631128-1631212-,R. Jackson - K. Caldwell-Pope - N. Jokic - C. Braun - P. Watson,90.2,-1.4,102.6,104.0,103.83,low,average,fast
2023-24,1610612747,-2544-203076-203915-1629060-1630559-,L. James - A. Davis - S. Dinwiddie - R. Hachimura - A. Reaves,89.5,6.2,128.3,122.2,99.73,low,good,average
2023-24,1610612740,-202685-1627742-1629627-1630529-1630700-,J. Valanciunas - B. Ingram - Z. Williamson - H. Jones - D. Daniels,89.4,20.7,134.6,113.9,99.83,low,elite,average
2023-24,1610612765,-202711-1628995-1630595-1631093-1631105-,B. Bogdanovic - K. Knox II - C. Cunningham - J. Ivey - J. Duren,89.3,2.1,117.6,115.6,100.22,low,average,fast
2023-24,1610612757,-203924-1627763-1629014-1629028-1631133-,J. Grant - M. Brogdon - A. Simons - D. Ayton - J. Walker,88.6,-3.8,109.0,112.8,96.99,low,average,average
2023-24,1610612759,-1628380-1629640-1630170-1631110-1641705-,Z. Collins - K. Johnson - D. Vassell - J. Sochan - V. Wembanyama,88.4,-17.1,93.8,110.8,104.76,low,poor,fast
2023-24,1610612742,-202681-1629023-1629029-1630182-1641726-,K. Irving - P. Washington - L. Doncic - J. Green - D. Lively II,87.8,13.0,131.7,118.7,102.78,low,good,fast
2023-24,1610612753,-204060-1628371-1629021-1630175-1641710-,J. Ingles - J. Isaac - M. Wagner - C. Anthony - A. Black,87.6,19.1,127.5,108.4,97.54,low,elite,average
2023-24,1610612758,-203084-1627734-1628989-1631099-1631165-,H. Barnes - D. Sabonis - K. Huerter - K. Murray - K. Ellis,87.4,9.5,122.5,113.0,97.43,low,good,average
2023-24,1610612738,-201143-201950-204001-1628369-1628401-,A. Horford - J. Holiday - K. Porzingis - J. Tatum - D. White,87.4,13.0,120.7,107.7,100.56,low,good,fast
2023-24,1610612766,-202330-1626179-1628970-1630208-1641706-,G. Hayward - T. Rozier - M. Bridges - N. Richards - B. Miller,86.9,3.7,120.5,116.8,95.05,low,average,average
2023-24,1610612764,-1626145-1628398-1630166-1630557-1641731-,T. Jones - K. Kuzma - D. Avdija - C. Kispert - B. Coulibaly,86.8,-7.3,113.2,120.5,103.37,low,poor,fast
2023-24,1610612743,-202704-1630192-1631124-1631128-1631212-,R. Jackson - Z. Nnaji - J. Strawther - C. Braun - P. Watson,86.4,-16.3,98.4,114.7,102.53,low,poor,fast
2023-24,1610612760,-1630581-1630598-1631096-1631114-1641717-,J. Giddey - A. Wiggins - C. Holmgren - J. Williams - C. Wallace,86.3,2.9,121.2,118.3,99.84,low,average,average
2023-24,1610612741,-201942-202696-1628470-1629632-1630245-,D. DeRozan - N. Vucevic - T. Craig - C. White - A. Dosunmu,85.3,-9.9,111.5,121.4,103.86,low,poor,fast
2023-24,1610612759,-1628380-1629640-1631103-1631110-1641705-,Z. Collins - K. Johnson - M. Branham - J. Sochan - V. Wembanyama,83.7,-15.7,110.6,126.3,102.9,low,poor,fast
2023-24,1610612762,-203903-1628374-1628381-1629659-1631117-,J. Clarkson - L. Markkanen - J. Collins - T. Horton-Tucker - W. Kessler,83.6,-22.1,101.7,123.8,99.01,low,poor,average
